年度季別,全國,台北市,新北市,桃園市,新竹縣市,台中市,台南市
111Q4,133.06,123.92,129.97,125.62,160.1,146.29,153.77
111Q3,132.17,114.12,126.79,144.49,171.64,142.92,145.31
111Q2,128.33,119.56,118.99,139.57,141.56,137.14,124.91
111Q1,121.05,116.63,119.12,119.96,127.33,125.84,118.52
110Q4,106.5,107.4,109.77,101.28,106.81,113.16,106.68
110Q3,98.83,103.99,99.08,99.18,93.15,106.85,97.12
110Q2,95.25,100.28,97.15,100.47,92.49,101.04,95.29
110Q1,95.17,98.66,96.6,99.27,86.28,101.3,93.8
109Q4,94.34,93.46,95.78,98.78,89.34,93.32,95.95
109Q3,94.64,93.41,99.43,98.34,92.93,93.23,95.81
109Q2,92.8,88.92,96.45,98.65,94.97,99.71,93.29
109Q1,89.17,86.81,98.35,87.81,88.27,80.32,88.09
108Q4,87.28,86.15,95.17,88.71,83.07,90.68,88.8
108Q3,86.46,88.59,90,88.4,78.59,86.76,87.62
108Q2,84.84,91.59,87.99,93.27,81.21,82.69,85.9
108Q1,85.07,86.07,88,92.8,86.77,84.05,85.05
107Q4,83.81,87,88.59,92.7,83.66,83.51,81.32
107Q3,79.04,85.05,91.82,80.14,76.27,79.14,76.49
107Q2,79.65,89.39,93.88,85.77,82.14,76.15,74.93
107Q1,77.8,82.89,90.23,87.04,80.71,76.51,71.3
106Q4,79.82,92.17,92.72,82.41,78.18,71.96,64.87
106Q3,75.9,90.5,89.81,79.83,76.1,71.92,66.46
106Q2,75.67,83.52,85.12,83.94,76.08,75.24,66.35
106Q1,75.61,87.39,87.8,89.04,88.76,73.6,66.57
105Q4,73.69,75.91,86.9,76.2,71.92,70.4,67.57
105Q3,76.44,79.42,88.91,78.3,69.34,69.55,64.36
105Q2,71.09,82.22,85.12,78.77,69.43,63.3,60.74
105Q1,73.27,82.28,93.56,78.83,69.03,75.65,60.76
104Q4,84.09,82,92.55,80.85,78.46,72.15,64.83
104Q3,89.89,86.42,92.86,79.27,76.92,73.45,63.15
104Q2,92.35,87.44,96.44,79.57,77.21,74.87,65.59
104Q1,90.28,87.83,96.13,81.42,79.01,75.96,61.17
103Q4,91.69,89.1,99.54,80.58,78.2,74.03,64.5
103Q3,93.41,86.82,91.73,82.95,80.5,74.24,64.41
103Q2,92.34,84.58,91.76,82.18,79.75,77.75,60.87
103Q1,90.63,89.58,92.51,77.55,75.26,74.8,62.83
102Q4,92.96,87.71,100.23,80.1,77.73,72.75,56.62
102Q3,87.38,87.82,100.7,77.62,75.33,64.17,55.9
102Q2,86.92,93.29,95,75.75,73.51,66.69,54.24
102Q1,84.77,83.68,101.46,76.34,74.08,63.01,52.12
101Q4,82.37,82.58,96.65,71.09,68.99,64,53.79
101Q3,77.48,78.66,83.62,69.71,67.65,59.98,50.87
101Q2,81.43,78.35,95.71,64.13,62.23,60.36,50.78
101Q1,77.01,82.92,86.8,66.23,64.27,56.37,47.48
100Q4,74.62,76.74,89.59,62.09,60.25,51.08,47.17
100Q3,76.34,73.64,85.2,69.32,67.27,53.65,44.27
100Q2,75.9,70.83,90.06,64.61,62.7,48.36,44.47
100Q1,73.42,74.05,86.85,64.1,62.2,54.59,45.62
099Q4,70.6,71.76,77.43,60.52,58.73,51.21,45.67
099Q3,68.91,67.19,72.61,61.56,59.74,51.94,43.88
099Q2,67.46,66.87,66.66,58.55,56.82,46.2,43.67
099Q1,65.51,63.28,64.99,56.72,55.05,51.32,43.5
098Q4,63.28,61.48,62.35,53.61,52.03,42.83,39.79
098Q3,59.35,58.16,61.75,53.58,52,45.1,40.89
098Q2,59.68,57.58,59.49,56.76,55.08,48.08,43.01
098Q1,57.6,52.99,59.6,51.23,49.71,50.72,42.13
097Q4,62.15,62.98,60.4,53.26,51.69,49.36,38.17
097Q3,62.73,59.72,63.16,54.86,53.24,46.31,40.72
097Q2,62.53,64.38,62.28,55.78,54.13,50.24,40.83
097Q1,60.35,59.95,63.2,56.08,54.42,45.51,39.15
096Q4,60.66,58.68,60.43,55.49,53.85,51.52,39.21
096Q3,58.68,55.32,58.16,53.81,52.22,49.25,38.29
096Q2,57.87,55.94,55.76,51.43,49.91,47.74,39.03
096Q1,57.25,51.54,54.21,51.89,50.35,46.22,41.45
095Q4,53.97,46.93,49.8,50.17,48.69,45.6,40.08
095Q3,53.31,47.69,49.06,50.42,48.93,46.6,36.01
095Q2,52.04,41.87,47.54,48.17,46.74,44.28,37.02
095Q1,52.67,44.23,46.54,49.46,48,41.76,36.82
094Q4,50.83,40.71,45.49,48.66,47.22,42.08,36.21
094Q3,48.71,39.73,45.62,45.9,44.55,42.31,35.64
094Q2,49.91,38.84,46.06,45.56,44.21,43.21,37.16
094Q1,49.83,38.9,47.45,43.66,42.37,44.36,36.96
093Q4,49.64,38.87,44.18,44.2,42.89,46.09,37.19
093Q3,48.66,38.81,44.59,43.76,42.47,43,35.02
093Q2,49.33,38.88,42.36,44.02,42.72,41.53,36.25
093Q1,46.34,34.75,41.42,43.61,42.32,40.09,35.6
092Q4,45.97,35.13,42.88,39.12,37.97,37.97,33.07
092Q3,45.68,36.51,39.57,40.92,39.71,34.49,34.77
092Q2,44.36,35.11,40,36.67,35.59,38.4,32.72
092Q1,45.37,35.87,37.89,41.54,40.32,42.48,35.51
091Q4,45.07,36.76,39.01,45.26,43.92,45.07,35.24
091Q3,45.12,41.72,41.34,41.4,40.17,47.51,32.92
091Q2,44.48,34.55,37.76,40.93,39.72,50.23,36.02
091Q1,44.54,30.57,45.94,43.63,42.34,54.21,36.34
090Q4,46.05,40.84,39.42,45.03,43.7,47.86,36.41
090Q3,48.75,37.41,34.85,47.95,46.53,37.62,35.11
090Q2,47.54,35.49,41.25,44.42,43.11,42.91,36.25
090Q1,51.04,39.63,42.32,46.47,45.1,42.92,40.22
089Q4,50.22,38.7,43.66,48.18,46.75,42.21,40.12
089Q3,49.81,39.76,43.8,45.79,44.44,45.75,37.64
089Q2,50.76,39.12,46.03,47.02,45.63,40.66,42.2
089Q1,49.54,37.58,42.38,43.77,42.47,44.49,44.49
